"Name","LastName","Username","Password","Status"
"Itachi","Uchiha","Ita","J9bPMd#dAaeR","Success"
"Naruto","Uzumaki","Nar","@ONcPSCSW^Xx","Success"
"Sasuke","Uchiha","Sas","X0lAo1rEaOdG","Success"
"Hinata","Hyuga","Hin","RgTzG32J3Txe","Success"
"Sakura","Haruno","Sak","j!Ge10O3^cJZ","Success"
"Kakashi","Hatake","Kak","2JKKXpSg@bWZ","Success"
"Might","Guy","Mig","JP*1i@x!lX3I","Success"
"Shikamaru","Nara","Shi","ACiE55LINo1T","Success"
"Negi","Hyuga","Nej","irNfCdtMEV@y","Success"
"Rock","Lee","Roc","ru&CQOs6Poli","Success"
"#Nagato","Uzumaki","Nag","8kEH*x@2qDGs","Success"
"Madara","Uchiha","Mad","&TvORJ2yR32b","Success"
"Obito","Uchiha","Obi","UEws$GfWJ9MP","Success"
"Kaguya","Otsutsuki","Kag","R2L0K^rZZA0L","Success"
"#Kushina","Uzumaki","Kus","p9yyNz99cmYk","Success"
"#Minato","Namikaze","Min","6a!EZm2pcvD9","Success"
